customer_key,customer_name,industry,vertical,address,city,state,zip
71,Technological University London,Education,Public Sector,Grangegorman,London,London,D07
72,Inland Fisheries UK,Public Services,Public Sector,Citywest Business Campus,London,London,D24
73,Irish Red Cross,Charity,SMB,Merrion Square,London,London,D02
74,Barnardos UK,Charity,SMB,Christchurch Square,London,London,D08
75,Focus UK,Charity,SMB,29 Eustace Street,London,London,D02
76,St Vincent de Paul,Charity,SMB,91-92 Sean McDermott St,London,London,D01
77,ISPCC Childline,Charity,SMB,Lower Baggot Street,London,London,D02
78,Concern Worldwide,Charity,SMB,47 Bath Avenue,London,London,D04
79,GOAL Global,Charity,SMB,Merrion Square,London,London,D02
80,Irish Cancer Society,Charity,SMB,43-45 Northumberland Rd,London,London,D04
